Country Name,Country Code,Year,average_value_Gini index (World Bank estimate)
Poland,POL,2018,30.2
Estonia,EST,2018,30.3
Austria,AUT,2018,30.8
Pakistan,PAK,2018,31.6
Seychelles,SYC,2018,32.1
France,FRA,2018,32.4
Cyprus,CYP,2018,32.7
Mongolia,MNG,2018,32.7
Greece,GRC,2018,32.9
North Macedonia,MKD,2018,33.0
Switzerland,CHE,2018,33.1
Portugal,PRT,2018,33.5
Armenia,ARM,2018,34.4
Spain,ESP,2018,34.7
Latvia,LVA,2018,35.1
Nigeria,NGA,2018,35.1
Luxembourg,LUX,2018,35.4
Lithuania,LTU,2018,35.7
Sierra Leone,SLE,2018,35.7
Vietnam,VNM,2018,35.7
Romania,ROU,2018,35.8
Georgia,GEO,2018,36.4
Thailand,THA,2018,36.4
Russian Federation,RUS,2018,37.5
Indonesia,IDN,2018,37.8
El Salvador,SLV,2018,38.6
Lao PDR,LAO,2018,38.8
Uruguay,URY,2018,39.7
Argentina,ARG,2018,41.3
Bulgaria,BGR,2018,41.3
United States,USA,2018,41.4
Turkey,TUR,2018,41.9
"Iran, Islamic Rep.",IRN,2018,42.0
Philippines,PHL,2018,42.3
Peru,PER,2018,42.4
Bolivia,BOL,2018,42.6
Dominican Republic,DOM,2018,43.7
Ecuador,ECU,2018,45.4
Mexico,MEX,2018,45.4
Paraguay,PRY,2018,46.0
Costa Rica,CRI,2018,48.0
Honduras,HND,2018,48.9
Panama,PAN,2018,49.2
Colombia,COL,2018,50.4
Angola,AGO,2018,51.3
Brazil,BRA,2018,53.9
Belarus,BLR,2019,25.3
Ukraine,UKR,2019,26.6
Kyrgyz Republic,KGZ,2019,29.7
Armenia,ARM,2019,29.9
Thailand,THA,2019,34.9
Georgia,GEO,2019,35.9
Indonesia,IDN,2019,38.2
El Salvador,SLV,2019,38.8
Uruguay,URY,2019,39.7
Peru,PER,2019,41.5
Bolivia,BOL,2019,41.6
Dominican Republic,DOM,2019,41.9
Turkey,TUR,2019,41.9
Argentina,ARG,2019,42.9
Ecuador,ECU,2019,45.7
Paraguay,PRY,2019,45.7
Costa Rica,CRI,2019,48.2
Honduras,HND,2019,48.2
Panama,PAN,2019,49.8
Zimbabwe,ZWE,2019,50.3
Colombia,COL,2019,51.3
Brazil,BRA,2019,53.4
